ADM0_EN,ADM1_EN,ADM2_PCODE,ADM2_EN,Total_population_by_adm2,People_at_60kmph,People_at_90kmph,People_at_120kmph,%_people_at_60_kmph,%_people_at_90_kmph,%_people_at_120_kmph
Madagascar,Analamanga,MG11101001A,1er Arrondissement,116409.78125,116409.78125,0.0,0.0,0.5075359878023441,0.0,0.0
Madagascar,Analamanga,MG11101002A,2e Arrondissement,167965.25,167965.25,0.0,0.0,0.73231311114776,0.0,0.0
Madagascar,Analamanga,MG11101003A,3e Arrondissement,107579.1484375,107579.1484375,0.0,0.0,0.46903523727016333,0.0,0.0
Madagascar,Analamanga,MG11101004A,4e Arrondissement,127013.203125,127013.203125,0.0,0.0,0.5537659363309443,0.0,0.0
Madagascar,Analamanga,MG11101005A,5e Arrondissement,490502.0,490502.0,0.0,0.0,2.138543809771358,0.0,0.0
Madagascar,Analamanga,MG11101006A,6e Arrondissement,300167.28125,300167.28125,0.0,0.0,1.3087018630160236,0.0,0.0
Madagascar,Analamanga,MG11102,Antananarivo Avaradrano,1662525.5,1662525.5,0.0,0.0,7.248458959621025,0.0,0.0
Madagascar,Analamanga,MG11103,Ambohidratrimo,1209157.5,1209157.5,0.0,0.0,5.271815989870808,0.0,0.0
Madagascar,Analamanga,MG11104,Ankazobe,236173.46875,236173.46875,0.0,0.0,1.0296946997719514,0.0,0.0
Madagascar,Analamanga,MG11106,Manjakandriana,170070.40625,170070.40625,0.0,0.0,0.7414913996502309,0.0,0.0
Madagascar,Analamanga,MG11107,Anjozorobe,205794.125,205794.125,0.0,0.0,0.8972435425463363,0.0,0.0
Madagascar,Analamanga,MG11115,Andramasina,198609.3125,198609.3125,198609.3125,0.0,0.8659184178857989,3.8358120121113353,0.0
Madagascar,Analamanga,MG11117,Antananarivo Atsimondrano,814305.4375,814305.4375,0.0,0.0,3.5502971499173954,0.0,0.0
Madagascar,Vakinankaratra,MG12108,Antsirabe I,67651.890625,67651.890625,67651.890625,0.0,0.2949560489364421,1.3065849301573773,0.0
Madagascar,Vakinankaratra,MG12109,Betafo,311245.8125,311245.8125,311245.8125,0.0,1.35700324491874,6.011200639480851,0.0
Madagascar,Vakinankaratra,MG12110,Ambatolampy,286612.9375,286612.9375,286612.9375,0.0,1.2496061652980215,5.535457198106032,0.0
Madagascar,Vakinankaratra,MG12114,Antanifotsy,403379.9375,403379.9375,403379.9375,0.0,1.7586995941435146,7.7906196352561246,0.0
Madagascar,Vakinankaratra,MG12116,Faratsiho,211184.4375,211184.4375,0.0,0.0,0.9207448115108017,0.0,0.0
Madagascar,Vakinankaratra,MG12118,Antsirabe II,787494.1875,787494.1875,787494.1875,0.0,3.4334025547480946,15.209154222717306,0.0
Madagascar,Vakinankaratra,MG12120,Mandoto,248824.90625,248824.90625,0.0,0.0,1.0848538089098025,0.0,0.0
Madagascar,Itasy,MG13105,Arivonimamo,363809.0625,363809.0625,0.0,0.0,1.5861742022419807,0.0,0.0
Madagascar,Itasy,MG13112,Miarinarivo,327503.25,327503.25,0.0,0.0,1.4278841838922196,0.0,0.0
Madagascar,Itasy,MG13113,Soavinandriana,211451.6875,211451.6875,0.0,0.0,0.9219099970414649,0.0,0.0
Madagascar,Bongolava,MG14111,Tsiroanomandidy,548189.5,548189.5,0.0,0.0,2.3900560279196736,0.0,0.0
Madagascar,Bongolava,MG14119,Fenoarivobe,239606.09375,239606.09375,0.0,0.0,1.0446606304817476,0.0,0.0
Madagascar,Haute Matsiatra,MG21201,Fianarantsoa I,74581.84375,74581.84375,74581.84375,0.0,0.3251700100568339,1.440425569881879,0.0
Madagascar,Haute Matsiatra,MG21205,Ambalavao,278353.40625,278353.40625,0.0,0.0,1.2135953652884381,0.0,0.0
Madagascar,Haute Matsiatra,MG21208,Ambohimahasoa,214821.359375,214821.359375,214821.359375,0.0,0.9366014578902319,4.148921016725795,0.0
Madagascar,Haute Matsiatra,MG21219,Ikalamavony,195775.140625,195775.140625,0.0,0.0,0.8535616880067989,0.0,0.0
Madagascar,Haute Matsiatra,MG21220,Lalangina,147583.9375,147583.9375,0.0,0.0,0.6434524547551447,0.0,0.0
Madagascar,Haute Matsiatra,MG21224,Vohibato,481699.46875,481699.46875,0.0,0.0,2.100165579478706,0.0,0.0
Madagascar,Haute Matsiatra,MG21225,Isandra,119205.21875,119205.21875,119205.21875,0.0,0.519723839352853,2.30225261963791,0.0
Madagascar,Amoron I Mania,MG22202,Ambatofinandrahana,262244.3125,262244.3125,262244.3125,0.0,1.1433611914826454,5.064817310595035,0.0
Madagascar,Amoron I Mania,MG22203,Ambositra,313355.5,313355.5,313355.5,313355.5,1.3662012892563307,6.051945781551172,22.532499557995763
Madagascar,Amoron I Mania,MG22204,Fandriana,191792.625,191792.625,191792.625,191792.625,0.8361982845198376,3.704158911528203,13.79126020778109
Madagascar,Amoron I Mania,MG22223,Manandriana,102523.125,102523.125,102523.125,102523.125,0.44699143801078317,1.9800654332066725,7.372145275084831
Madagascar,Vatovavy Fitovinany,MG23206,Ifanadiana,208987.703125,208987.703125,0.0,0.0,0.9111672507681988,0.0,0.0
Madagascar,Vatovavy Fitovinany,MG23207,Nosy-Varika,358870.90625,358870.90625,358870.90625,358870.90625,1.5646442931282132,6.931000946851527,25.80538250152196
Madagascar,Vatovavy Fitovinany,MG23209,Mananjary,470710.875,470710.875,0.0,0.0,2.052256316841337,0.0,0.0
Madagascar,Vatovavy Fitovinany,MG23210,Manakara Atsimo,590728.125,590728.125,0.0,0.0,2.5755205380948314,0.0,0.0
Madagascar,Vatovavy Fitovinany,MG23211,Ikongo,485188.3125,485188.3125,0.0,0.0,2.1153766187911285,0.0,0.0
Madagascar,Vatovavy Fitovinany,MG23212,Vohipeno,255619.328125,255619.328125,0.0,0.0,1.1144768661893985,0.0,0.0
Madagascar,Ihorombe,MG24216,Ihosy,511723.375,511723.375,0.0,0.0,2.2310670617480812,0.0,0.0
Madagascar,Ihorombe,MG24218,Ivohibe,137343.859375,137343.859375,0.0,0.0,0.5988066517088904,0.0,0.0
Madagascar,Ihorombe,MG24221,Iakora,104205.6328125,104205.6328125,0.0,0.0,0.45432701802332914,0.0,0.0
Madagascar,Atsimo Atsinanana,MG25213,Farafangana,681594.375,681594.375,0.0,0.0,2.9716890684058934,0.0,0.0
Madagascar,Atsimo Atsinanana,MG25214,Vangaindrano,595405.1875,0.0,0.0,0.0,0.0,0.0,0.0
Madagascar,Atsimo Atsinanana,MG25215,Midongy-Atsimo,98235.2421875,0.0,0.0,0.0,0.0,0.0,0.0
Madagascar,Atsimo Atsinanana,MG25217,Vondrozo,211033.015625,211033.015625,0.0,0.0,0.920084625999947,0.0,0.0
Madagascar,Atsimo Atsinanana,MG25222,Befotaka,150372.65625,0.0,0.0,0.0,0.0,0.0,0.0
